更新时间,#genre#
2026-09-12 06:52:17,https://github.com/xiaoyueD2009/iptv

儿童频道,#genre#
浙江少儿[170ms|移动],https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?
浙江少儿[177ms|移动],https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿[180ms|移动],http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
金鹰卡通[214ms|联通],http://125.42.148.178:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
福州少儿[公网],http://live.zohi.tv/video/s10001-fztv-4/index.m3u8
黑龙江少儿[Mexi][Mexi],https://ls.qingting.fm/live/4972/64k.m3u8
韩国EBS少儿[韩],http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
海绵宝宝[加],https://live.metshop.top/douyu/3949681
猫和老鼠[加],https://live.metshop.top/huya/11352879

卫视频道,#genre#
江西卫视[164ms|移动],http://112.27.5.218:9901/tsfile/live/faacts/0138_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视[联通],http://125.42.148.178:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视[加],https://live.264788.xyz/channel/jiangxiweishi?streamid=555198f31caa33506ac6abb70d788959&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
西藏卫视[170ms|移动],http://112.27.5.218:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视[加],https://live.264788.xyz/channel/xizangweishi?streamid=4b4e8ea919f1cfd5e43deed1d1675251&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
浙江卫视[172ms|移动],https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视[172ms|移动],http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8
浙江卫视[175ms|移动],https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8?
深圳卫视[195ms|公网],http://gmxw.7766.org:808/hls/45/index.m3u8
深圳卫视[380ms|联通],http://125.42.148.178:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视[美],http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
湖北卫视[202ms|联通],http://125.42.148.178:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视[202ms|电信],http://218.13.170.98:9901/tsfile/live/0141_1.m3u8
河南卫视[203ms|联通],http://125.42.148.178:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视[211ms|移动],http://111.59.139.82:11888/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
大湾区卫视[205ms|公网],http://222.128.55.152:9080/live/dwq.m3u8
东方卫视[205ms|联通],http://125.42.148.178:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视[联通],http://125.42.148.178:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视[美],https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
